tissue replicate chip file
leaf rep2 input 00.data/chip_seq/input/leaf_input_rep2.fastq
leaf rep1 input 00.data/chip_seq/input/leaf_input_rep1.fastq
leaf rep2 H3K36me3 00.data/chip_seq/H3K36me3/leaf_H3K36me3_rep2.fastq
leaf rep1 H3K36me3 00.data/chip_seq/H3K36me3/leaf_H3K36me3_rep1.fastq
leaf rep2 H3K4me1 00.data/chip_seq/H3K4me1/leaf_H3K4me1_rep2.fastq
leaf rep1 H3K4me1 00.data/chip_seq/H3K4me1/leaf_H3K4me1_rep1.fastq
leaf rep1 H3K4me3 00.data/chip_seq/H3K4me3/leaf_H3K4me3_rep1.fastq
leaf rep2 H3K4me3 00.data/chip_seq/H3K4me3/leaf_H3K4me3_rep2.fastq
leaf rep1 H3K56ac 00.data/chip_seq/H3K56ac/leaf_H3K56ac_rep1.fastq
leaf rep2 H3K56ac 00.data/chip_seq/H3K56ac/leaf_H3K56ac_rep2.fastq
leaf rep1 RNA_B73 00.data/rna/raw/RNA_B73_tis_leaf_all.fastq
root rep2 H3K4me1 00.data/chip_seq/H3K4me1/root_H3K4me1_rep2.fastq
root rep1 H3K4me1 00.data/chip_seq/H3K4me1/root_H3K4me1_rep1.fastq
root rep2 input 00.data/chip_seq/input/root_input_rep2.fastq
root rep1 input 00.data/chip_seq/input/root_input_rep1.fastq
root rep2 H3K36me3 00.data/chip_seq/H3K36me3/root_H3K36me3_rep2.fastq
root rep1 H3K36me3 00.data/chip_seq/H3K36me3/root_H3K36me3_rep1.fastq
root rep1 H3K4me3 00.data/chip_seq/H3K4me3/root_H3K4me3_rep1.fastq
root rep2 H3K4me3 00.data/chip_seq/H3K4me3/root_H3K4me3_rep2.fastq
root rep1 H3K56ac 00.data/chip_seq/H3K56ac/root_H3K56ac_rep1.fastq
root rep2 H3K56ac 00.data/chip_seq/H3K56ac/root_H3K56ac_rep2.fastq
root rep1 RNA_B73 00.data/rna/raw/RNA_B73_tis_root_all.fastq
ear rep2 H3K4me1 00.data/chip_seq/H3K4me1/ear_H3K4me1_rep2.fastq
ear rep1 H3K4me1 00.data/chip_seq/H3K4me1/ear_H3K4me1_rep1.fastq
ear rep2 input 00.data/chip_seq/input/ear_input_rep2.fastq
ear rep1 input 00.data/chip_seq/input/ear_input_rep1.fastq
ear rep2 H3K36me3 00.data/chip_seq/H3K36me3/ear_H3K36me3_rep2.fastq
ear rep1 H3K36me3 00.data/chip_seq/H3K36me3/ear_H3K36me3_rep1.fastq
ear rep1 H3K4me3 00.data/chip_seq/H3K4me3/ear_H3K4me3_rep1.fastq
ear rep2 H3K4me3 00.data/chip_seq/H3K4me3/ear_H3K4me3_rep2.fastq
ear rep1 H3K56ac 00.data/chip_seq/H3K56ac/ear_H3K56ac_rep1.fastq
ear rep2 H3K56ac 00.data/chip_seq/H3K56ac/ear_H3K56ac_rep2.fastq
ear rep1 RNA_B73 00.data/rna/raw/RNA_B73_tis_ear_all.fastq
